"M.b1t1"	"M.b1t2"	"M.b1t3"	"M.b2t1"	"M.b2t2"	"M.b2t3"	"M.b3t1"	"M.b3t2"	"M.b3t3"	"H.b1t1"	"H.b1t2"	"H.b1t3"	"H.b2t1"	"H.b2t2"	"H.b2t3"	"H.b3t1"	"H.b3t2"	"H.b3t3"
8243400	10533000	5533400	12052000	18660000	10678000	7152000	13710000	16183000	15976000	14330000	7575800	15877000	21773000	13143000	9531900	17881000	44033000
1667000	1107000	NA	14006000	11600000	5897400	6179600	8885900	3958500	1207900	523230	NA	12841000	13337000	7374200	5315600	8607200	5484100
12002000	35405000	36122000	25332000	7503600	10782000	7668400	31228000	30059000	17686000	48219000	59263000	17006000	12278000	19732000	16190000	32796000	27873000
3149600	14966000	13907000	14904000	2375400	17481000	14062000	2803700	2188500	9376000	19210000	17417000	17453000	4187800	20356000	15458000	5810900	6136900
296260000	170360000	288570000	105040000	141100000	115560000	136170000	126370000	118290000	375300000	307090000	407150000	267710000	291570000	288850000	310490000	273650000	257520000
3602700	8489900	8804700	2030700	2219200	2053900	5923600	3881600	4983300	3016000	5044000	4915600	1239300	1136800	1342900	2516100	2472800	2144000
19832000	20107000	22418000	26481000	15127000	20313000	15472000	17296000	15763000	13489000	18535000	19710000	30045000	20041000	23066000	22766000	22516000	19586000
70874000	75851000	64852000	58234000	62935000	63509000	44978000	77664000	64278000	4902800	10200000	5371600	15852000	35046000	44645000	25997000	5354200	10837000
5830700	5206600	7008800	6945800	7421700	11262000	7979100	12476000	6462900	10512000	7632700	10980000	9527900	10932000	14598000	9741300	12095000	8296400
4486200	4377800	5159000	4166400	1333900	1823200	9265100	3093100	1928700	12315000	26210000	11506000	10833000	3851100	13643000	16788000	10618000	8042300
11339000	27555000	18051000	24755000	29813000	19447000	17337000	18810000	17812000	15967000	16511000	21557000	28464000	26738000	35153000	15922000	7692400	12489000
1945800	2315700	2103700	2167800	3579800	3245500	1687800	2187200	2607600	905070	1996500	1894500	2467100	3995200	4503100	3385700	2887300	1839700
218710000	206180000	211500000	47019000	46171000	51422000	68960000	122330000	111460000	133930000	157430000	136040000	78213000	76671000	89424000	76513000	62135000	56968000
