"M.b1t1"	"M.b1t2"	"M.b1t3"	"M.b2t1"	"M.b2t2"	"M.b2t3"	"M.b3t1"	"M.b3t2"	"M.b3t3"	"H.b1t1"	"H.b1t2"	"H.b1t3"	"H.b2t1"	"H.b2t2"	"H.b2t3"	"H.b3t1"	"H.b3t2"	"H.b3t3"
24865000	20906000	28508000	44204000	52338000	51166000	17745000	19027000	20261000	33805000	32847000	37764000	96987000	111420000	105120000	35285000	32685000	30930000
3792800	3639600	4913300	2537600	7112400	7951000	12272000	3705900	6773200	14707000	13387000	13684000	12616000	20638000	17709000	19383000	12322000	19680000
62101000	70174000	97607000	116330000	103370000	120650000	82501000	83842000	90235000	61360000	78577000	80969000	91721000	83446000	76908000	65313000	100480000	64154000
176060000	51312000	185120000	61091000	60079000	80437000	67578000	131960000	111250000	1001600000	216970000	703170000	626730000	753050000	683130000	910760000	849440000	642030000
7314500	9392500	10839000	13078000	14498000	4332300	12453000	11209000	12634000	15468000	14405000	12449000	16607000	14756000	7281400	15885000	14966000	15865000
NA	NA	NA	NA	1527300	1578300	1535300	899680	774190	NA	NA	NA	NA	2130100	1590800	2582000	290460	207820
48395000	29066000	22114000	56980000	48333000	53991000	33454000	55073000	26897000	40840000	23629000	25152000	64966000	56574000	61132000	38121000	55202000	31780000
311710000	233840000	241600000	297240000	219550000	229050000	263500000	292060000	293080000	154710000	162710000	183140000	181590000	156920000	177260000	231280000	216920000	256010000
458740000	484850000	352710000	199720000	206930000	194100000	318840000	289840000	216580000	166780000	140500000	138690000	128140000	116590000	108010000	133380000	122120000	120090000
344940000	84215000	106950000	84080000	195750000	104510000	58657000	63242000	61147000	215150000	111640000	112300000	94295000	96362000	104180000	66339000	63366000	76165000
23803000	15267000	14490000	30806000	38358000	18705000	8777400	8174100	6228600	18968000	9635600	4461600	19283000	24812000	18255000	6598600	6580200	4886500
288260000	459970000	449440000	2.98e+08	430560000	303540000	377540000	350250000	369430000	149270000	190460000	175390000	201500000	246360000	183490000	160940000	182420000	167070000
277510000	250240000	249120000	191070000	260370000	217730000	176090000	167640000	196830000	426170000	407410000	378640000	385760000	438250000	392760000	314330000	288650000	331050000
18450000	19097000	20864000	4488400	3956700	8232400	7115800	7795800	6946800	14471000	15245000	13956000	5075900	3154800	4884200	3417100	6937400	5420400
21538000	99656000	47805000	18715000	77086000	53471000	62512000	16407000	14288000	54169000	54918000	53696000	40879000	46486000	26112000	56903000	38774000	41740000
43299000	40609000	44344000	56404000	23902000	60903000	64921000	49824000	29889000	24516000	30026000	23369000	37501000	18291000	33177000	27249000	34722000	14899000
37818000	64215000	67845000	27794000	29607000	22329000	25456000	46042000	24689000	49451000	90037000	97145000	44216000	48374000	33959000	34182000	46223000	38761000
155530000	206440000	205240000	169860000	117830000	127120000	279610000	211890000	213180000	678800000	634120000	624450000	771970000	817510000	795070000	694690000	581380000	583440000
43355000	49775000	35092000	45882000	43501000	36661000	36542000	21337000	24658000	93319000	62626000	55297000	62706000	67106000	53655000	50737000	30987000	29159000
29570000	28407000	16502000	14515000	12833000	14683000	12834000	18980000	20667000	410650000	381840000	27293000	20317000	11670000	15169000	22229000	36621000	31826000
196250000	222250000	177530000	211590000	234320000	228560000	185480000	172500000	193140000	112620000	122990000	111600000	116060000	1.48e+08	126040000	122850000	103720000	100140000
362760000	316580000	308150000	270860000	258940000	264920000	201020000	276670000	134720000	302070000	277190000	281270000	169810000	217040000	200730000	198780000	237480000	95148000
258350000	229510000	265710000	128360000	133270000	98921000	140590000	123310000	177050000	360070000	312900000	362230000	108470000	120750000	108730000	133620000	130590000	146560000
1171700	1034200	1561300	325240	234860	208190	654060	NA	519060	571810	2807000	3533700	1865100	2009100	2457300	2328600	NA	2545600
669490000	797240000	684020000	598070000	6.89e+08	730370000	843490000	774680000	898730000	677540000	830220000	840670000	611970000	734350000	816140000	867740000	826420000	818140000
298200000	199310000	2.67e+08	141630000	84272000	79506000	20235000	150370000	91533000	33304000	25923000	41627000	27352000	39103000	23452000	33870000	23832000	23593000
42101000	31249000	26845000	13188000	9057100	10247000	66471000	109570000	104150000	29861000	25956000	25096000	14846000	15275000	13156000	10516000	33806000	19148000
130070000	71839000	148170000	84684000	131460000	89015000	150600000	78507000	144660000	67791000	38872000	52319000	47842000	60057000	43060000	49819000	40226000	45554000
18884000	980420	NA	11139000	11167000	10557000	10488000	19557000	9656700	16254000	693630	NA	10162000	10991000	11455000	8111800	14622000	8942500
892840000	900560000	553900000	1240700000	1.291e+09	1162200000	806370000	898810000	862340000	501510000	506250000	423290000	854920000	927890000	844670000	495020000	497430000	594160000
213670000	139010000	122770000	25008000	57200000	52337000	21432000	31453000	17692000	90718000	62029000	77989000	11959000	18259000	16181000	14543000	28674000	10344000
72821000	74691000	113210000	17841000	27037000	3007400	29051000	108540000	51470000	56284000	90240000	77365000	6079900	12167000	8971900	24224000	36954000	20189000
1338400000	1.211e+09	1364900000	505430000	418760000	385770000	1059600000	957550000	1065900000	3706400000	3368700000	3878900000	1403700000	1191600000	1.107e+09	3017300000	2724900000	2962600000
2282300	2131000	11805000	13288000	11023000	6682900	3625700	8804300	1296800	4321500	1277600	4227200	12032000	10016000	13699000	3681000	7772000	2543700
26453000	21344000	19472000	22330000	28496000	35202000	27644000	26036000	26616000	70400000	57695000	45448000	22514000	60515000	78828000	47586000	50254000	26191000
14597000	7573300	9337400	26795000	32750000	15230000	8229400	8463400	8087200	13588000	7669500	11406000	28991000	36093000	18101000	10863000	12190000	11455000
116380000	99831000	94211000	127940000	123960000	134310000	99205000	129490000	114070000	153630000	131670000	117140000	111420000	116230000	110440000	99039000	126180000	167520000
291280000	220500000	289120000	183710000	127050000	160620000	180860000	225530000	185960000	333610000	467980000	496350000	563320000	301190000	533040000	573600000	727920000	532020000
53838000	40577000	54970000	51474000	50056000	57001000	54656000	55190000	57181000	66498000	62770000	71373000	74903000	70172000	84505000	71160000	67065000	68094000
16393000	20989000	22617000	23741000	28693000	16078000	11975000	20284000	16392000	21990000	42495000	37221000	35266000	27921000	18315000	24789000	19196000	16179000
9897200	1403400	9805800	33608000	29066000	48583000	10581000	7947900	1165200	2548200	2705700	6092300	29835000	24528000	31705000	15317000	5641000	2407200
2085100	2197900	6288000	2614200	3083200	1655900	5008300	4753800	5719200	5305400	414370	5328500	9879300	9423100	3496800	5392800	4191700	4884600
5300000	3712900	4607600	4103400	3603800	3195600	2434500	2050000	4123200	15995000	11219000	16893000	12285000	11034000	9593000	8288400	8219200	11589000
159800000	178260000	101290000	335010000	259960000	284310000	183690000	174020000	168490000	69647000	71484000	45918000	181190000	140710000	165660000	81171000	71778000	66690000
2327400	3232000	2678500	1896200	1575600	1194500	1760200	2676400	1158200	2817200	1675900	2530900	3226100	2150300	1958200	2406200	2075200	1159600
95198000	93977000	115240000	72848000	82909000	72846000	83568000	89821000	83367000	150910000	106760000	128980000	100610000	117330000	99547000	112540000	90394000	102830000
8436700	10043000	11229000	8801200	16825000	8720000	11732000	10079000	13704000	24710000	31212000	28435000	19778000	27179000	17815000	24096000	25909000	37769000
303400000	309940000	279610000	118040000	116250000	88126000	193320000	193540000	238550000	547430000	589670000	531320000	281050000	271030000	249170000	360470000	346530000	415380000
611860000	675440000	662920000	567390000	596330000	600570000	596990000	569160000	473420000	342760000	305150000	311670000	144030000	158470000	134440000	192630000	188300000	182460000
80990000	93740000	76795000	126700000	107610000	183780000	172150000	72692000	55317000	1086300000	1182600000	1462700000	2445700000	2.813e+09	2245900000	1708600000	1494800000	1774600000
318580000	277450000	215820000	354810000	418900000	376010000	254360000	2.68e+08	338620000	1.325e+09	1131300000	1059200000	1763200000	1937200000	1721500000	1.051e+09	1107700000	1217900000
312330000	241110000	267240000	50140000	89004000	50209000	202810000	233760000	219520000	389060000	373610000	422440000	135160000	135870000	113260000	309600000	380800000	288200000
20301000	24367000	28364000	5707300	10096000	11290000	19228000	25971000	25574000	22183000	14189000	40100000	3834600	6519700	3963100	11953000	10205000	10716000
29487000	21986000	17243000	29629000	42471000	42356000	18571000	22763000	17917000	27587000	16519000	21653000	29364000	33300000	28372000	23419000	23112000	21179000
91447000	75557000	89195000	61805000	70062000	55398000	41912000	44256000	42074000	224230000	81414000	122540000	76390000	104210000	60854000	43739000	55642000	53684000
96570000	27397000	34621000	4286300	4730200	12344000	16525000	8590600	12036000	107770000	77464000	100860000	12735000	13783000	33798000	52110000	26301000	28663000
412410000	337690000	422460000	265260000	201080000	264430000	235710000	307290000	236880000	296590000	271530000	325970000	241680000	217120000	258780000	170140000	212190000	204830000
34308000	206570000	193940000	179910000	48814000	50430000	58711000	155280000	176450000	32446000	88221000	126280000	141040000	71678000	56724000	77641000	113700000	182300000
78893000	98264000	75838000	21043000	52001000	29090000	58162000	66010000	72632000	195050000	72794000	53595000	41147000	47299000	51662000	43736000	48327000	51294000
378570000	392730000	395780000	160690000	187450000	162830000	295300000	265770000	246810000	1671900000	1564500000	1674600000	765350000	836470000	669730000	1594100000	1524700000	1342500000
466560000	468500000	525420000	463780000	522720000	487820000	377490000	352120000	375630000	286800000	534070000	702230000	353840000	513350000	503950000	245340000	321370000	340860000
23395000	18999000	18529000	17435000	31314000	20421000	1.7e+07	19523000	14368000	339130000	306720000	19410000	204380000	724690000	521980000	295420000	34492000	32339000
64408000	56122000	37872000	57312000	47965000	48800000	34723000	30958000	25214000	43392000	33186000	35204000	35237000	40214000	38954000	31704000	24850000	27573000
4946400	8564500	14282000	10032000	18012000	15191000	7164600	7950600	8760600	7295300	16627000	18232000	22378000	29256000	21511000	11848000	17064000	14277000
352600000	263310000	278090000	82442000	83630000	80045000	299150000	78911000	73171000	230020000	143470000	193520000	194160000	201940000	204950000	141430000	184690000	164400000
7132200	5154600	4600400	6277500	13534000	21267000	5122600	4067900	1405900	10505000	8327500	5328200	15358000	22825000	36520000	11696000	14014000	4915300
9961400	12020000	8803700	11842000	14057000	14294000	14301000	12260000	10975000	22093000	14928000	16442000	14356000	10541000	8756600	13510000	14598000	17804000
27200000	31560000	32986000	22522000	30159000	31063000	26002000	22344000	29154000	85836000	107090000	112660000	44148000	48983000	46083000	81696000	90631000	90629000
5242800	10039000	10714000	7910400	7651700	8498600	12495000	12061000	4886800	12280000	20151000	19027000	20587000	23807000	17745000	19812000	17381000	9460000
98198000	79863000	89906000	174900000	168580000	261060000	66483000	163870000	92625000	739900000	718410000	802550000	1277100000	1.258e+09	1612600000	678870000	1171400000	916850000
7065400	6844500	2735100	7258000	5024100	13043000	4694300	3531600	4651600	24122000	29140000	12901000	34930000	20885000	43910000	12199000	13202000	11670000
76016000	61415000	70607000	89079000	109560000	97917000	61897000	58568000	61039000	310230000	251590000	285310000	522020000	598070000	461070000	272090000	255690000	261280000
87496000	84931000	103110000	165240000	217040000	203690000	106150000	95101000	111840000	37286000	43175000	44967000	73536000	513660000	409580000	96384000	38530000	45076000
289170000	229310000	254450000	373960000	426910000	374250000	358820000	340090000	311690000	3535500000	2916600000	3072400000	3186200000	4188100000	4040500000	3619100000	3566700000	4.049e+09
32440000	156170000	184650000	22343000	28412000	22469000	148610000	133930000	25372000	78754000	63012000	55934000	57792000	75882000	57268000	76111000	52490000	59246000
1491500	2473100	2502100	4508000	1190200	1623200	NA	NA	NA	1415400	1097100	1308300	2339800	1640800	1785300	NA	NA	NA
9095100	11526000	5601300	5453000	11838000	9291900	8579100	8624700	9564200	12519000	7200400	8440000	8488500	15627000	14350000	12358000	15116000	12364000
53990000	98577000	100160000	1.01e+08	63035000	53802000	151140000	92809000	85722000	30139000	37740000	35070000	28002000	62929000	46584000	40700000	25876000	22913000
5606600	14066000	14760000	11209000	5555000	11666000	11415000	9206200	9857200	12334000	29347000	27611000	43525000	13207000	46643000	33758000	32692000	30430000
5925900	37900000	15088000	22984000	28479000	30261000	15981000	27608000	14919000	10832000	17013000	17899000	19953000	22884000	17290000	13765000	15642000	16786000
513520000	504670000	571750000	312710000	81348000	69458000	228050000	295370000	289210000	274660000	165270000	216220000	68542000	72057000	63044000	72614000	70088000	79063000
10878000	13021000	14616000	6103000	8131200	9266100	6621700	6694600	3361000	8702400	6051700	12720000	9027200	2652100	4552800	8016900	9804200	12362000
47948000	40098000	33247000	84043000	98709000	79797000	38756000	24668000	34330000	78711000	72617000	53172000	162400000	206080000	159550000	64007000	46544000	66888000
5435700	4177000	5553700	7527500	4447400	6641100	5331300	6091500	7795700	14946000	8349300	12328000	15626000	14716000	17526000	10194000	11576000	12087000
64517000	65020000	66954000	87101000	85322000	76281000	39275000	62717000	63776000	47122000	45443000	38010000	33788000	45576000	46425000	45633000	33395000	40176000
296030000	250030000	268440000	130410000	160770000	153060000	163200000	143730000	145480000	1078500000	958380000	1022100000	589640000	260530000	798400000	905550000	869320000	811300000
6782000	6531000	25968000	18433000	22397000	26901000	17855000	17716000	18107000	3794200	4606300	11278000	24720000	16150000	29955000	10257000	12969000	8654500
2416800000	2455500000	2468300000	1297200000	1611600000	1722600000	2203300000	2.228e+09	2100600000	1579400000	1694600000	1391800000	982040000	1165100000	1176800000	1514500000	1253900000	1138200000
9880600	40537000	56211000	17358000	15199000	27907000	29699000	47240000	54143000	24265000	25741000	41628000	30724000	63867000	75172000	22895000	22128000	37311000
7727100	7323700	16825000	22604000	19509000	15541000	18930000	6477500	20991000	19508000	17155000	17960000	42230000	28931000	16097000	20700000	16093000	15683000
436390000	431600000	750050000	848600000	469460000	514800000	606600000	561870000	536790000	729760000	582250000	714320000	605260000	622730000	558740000	533870000	518860000	530510000
163900000	132160000	126890000	157550000	163430000	177100000	155180000	164910000	139430000	286120000	165070000	240590000	133630000	121010000	130440000	252970000	157670000	182040000
202560000	206800000	217860000	281930000	260400000	264730000	228640000	253630000	235930000	451160000	722280000	788280000	1146500000	1136600000	1137300000	883970000	794350000	616500000
10147000	9654700	13608000	17039000	20334000	18895000	15060000	14529000	14112000	6876800	8012600	10147000	11307000	16346000	13635000	7978300	9835100	13321000
37021000	50667000	50794000	862220	2203800	645970	20239000	18850000	22415000	23706000	30776000	79744000	202640	1735900	866570	11997000	13210000	10755000
4789800	5389500	6768400	10269000	8862200	5288300	10518000	10737000	8437700	4176300	3995300	5398700	12675000	5023300	5984200	8780600	6882700	5447500
694240000	544680000	690920000	749770000	551240000	492690000	775510000	629210000	513180000	699780000	596170000	678560000	861290000	617900000	580660000	763750000	624530000	446710000
31641000	38803000	41636000	13337000	12132000	17761000	29432000	31068000	29773000	60207000	148120000	150200000	25725000	40667000	45648000	129650000	130840000	150730000
44520000	41675000	29208000	34058000	43527000	29064000	36148000	37168000	17168000	28545000	28070000	32171000	22267000	25163000	22568000	18428000	22583000	13057000
267990000	258530000	256200000	339100000	343740000	355350000	270490000	213790000	178880000	161190000	142300000	195890000	200260000	158380000	157680000	115190000	124500000	116310000
6977700	4904700	6782200	10568000	7003800	16146000	6168700	6152900	9649500	14403000	20428000	25235000	33126000	42596000	35675000	20291000	25547000	31608000
21236000	16539000	18326000	44451000	161870000	29369000	143090000	18194000	17117000	25185000	21513000	21111000	73962000	41324000	51675000	29597000	28596000	22449000
301980000	198030000	218440000	297890000	319390000	348750000	211490000	224980000	211700000	389700000	362520000	403700000	512470000	617840000	608900000	397880000	376590000	348960000
1253100	NA	1456300	6265400	NA	2005600	3008000	4143300	3858200	2821100	NA	1820800	9009900	NA	2556600	3977500	4664800	3352300
144230000	144060000	194810000	167280000	160930000	125090000	132200000	146390000	127690000	180820000	179420000	195440000	111210000	111020000	64951000	127580000	112230000	128760000
714120000	555040000	595820000	516160000	494820000	460570000	552640000	600820000	383740000	600510000	448040000	633820000	334820000	421750000	379780000	405670000	355190000	389670000
18030000	20267000	25390000	28040000	68497000	49025000	49615000	18174000	25853000	37806000	33935000	24539000	36497000	63278000	59769000	25729000	20232000	24796000
31872000	30583000	79175000	51592000	25063000	33780000	59205000	69459000	71752000	425070000	390760000	563440000	259450000	276130000	213320000	361700000	327210000	343530000
6876600	5523900	7083100	4905900	2671000	2867600	4903200	8617900	3666800	22869000	6687200	8817200	2751500	23171000	2895200	22962000	8012600	1612900
12248000	13719000	13454000	8712800	2596100	3855700	7960600	11367000	18376000	18264000	20539000	24419000	11028000	7810600	6004900	7918900	7385400	15239000
1327800	36824000	47321000	18359000	1358000	3022200	27430000	32228000	28794000	392210	6146500	139250000	104100000	1993400	2484600	9448600	6716400	11049000
62473000	57654000	56546000	69693000	72420000	79838000	78448000	76286000	80769000	23980000	21944000	25784000	28484000	27880000	35694000	29607000	25912000	31137000
37977000	35884000	32568000	26447000	74771000	29671000	32571000	24261000	15833000	86767000	96197000	92659000	94091000	40256000	25373000	75989000	75903000	94167000
119800000	111060000	108410000	40900000	83683000	68631000	43593000	50355000	48368000	41123000	50476000	48244000	36336000	46784000	51085000	42375000	49971000	42382000
42973000	42889000	40634000	33799000	25804000	37454000	20982000	44856000	36500000	34966000	33440000	31867000	20136000	34770000	15197000	17694000	31127000	25613000
72122000	35715000	63954000	52102000	46668000	44172000	38307000	51739000	40011000	56010000	22239000	35810000	42462000	67100000	92307000	35305000	33761000	55864000
15644000	5588500	5965000	6553900	8736600	8579100	5007800	8524200	3600000	23894000	25753000	20073000	15414000	22784000	23069000	16913000	16552000	11853000
4841200	8215800	5637400	7072800	5472700	9883700	5681700	5470500	6737900	9392800	9547400	11461000	9544800	4398900	12046000	8297600	8901200	7896100
16788000	19407000	14034000	12124000	8805600	9503100	8417000	5866600	5152800	17068000	26484000	25936000	17515000	12982000	14280000	26756000	26986000	28798000
8079600	2644100	6533900	14791000	14652000	6480400	10808000	14925000	10570000	4853300	2417800	5753700	8090300	11759000	6433800	10541000	10070000	6016800
259150000	225300000	290120000	148360000	247550000	158020000	178460000	189460000	153790000	343040000	318690000	400890000	282120000	346670000	288680000	236190000	263730000	215270000
33360000	35625000	41772000	38316000	38963000	41477000	27867000	29647000	47438000	38111000	46960000	43939000	44840000	47566000	46359000	40327000	35039000	45257000
7365700	6938600	13057000	10981000	14100000	16344000	10510000	8574300	3993000	8811500	9829200	22982000	18473000	25006000	25159000	14293000	13979000	7405800
6879400	7771500	12646000	13078000	6344800	8942300	3096400	2075600	12097000	8828900	13262000	15771000	26382000	12954000	15450000	7909400	4550600	12037000
94238000	65710000	99259000	53798000	46394000	83567000	63577000	54688000	42831000	99026000	51903000	86925000	46555000	51184000	81947000	58829000	56518000	41093000
21287000	10764000	13077000	16547000	12137000	12864000	7103200	22563000	10869000	15450000	53339000	52475000	93178000	81130000	90735000	5100800	7986600	6694400
49839000	72275000	81329000	174110	NA	14001000	2629700	41404000	NA	29547000	12842000	22409000	143200	NA	13815000	2118100	10307000	NA
2360400	1191000	1607500	1644200	1108000	NA	NA	945050	358750	6794500	4285700	4883800	11869000	7468200	NA	NA	2399600	2647000
67148000	60984000	66598000	62311000	67573000	56816000	72241000	58489000	58983000	153920000	93909000	86250000	87084000	113150000	80368000	76487000	65425000	59309000
6365600	3500900	1848600	1328500	1713600	219970	2215000	963590	4498900	1042600	1813600	1619200	1636900	1282200	437310	2015300	1456700	1637700
92150000	48090000	45546000	13317000	24976000	24556000	26152000	20658000	23985000	63101000	54328000	53248000	25391000	34220000	29165000	42553000	62547000	46005000
4922500	4681200	5323300	3721200	4402300	8326300	3374100	2695200	3504300	5641600	5538500	4959700	4507800	5760200	12969000	4746100	5105100	5241000
371660000	377580000	397160000	332070000	366810000	332670000	267850000	322540000	371210000	491670000	483150000	403080000	448760000	353980000	288980000	312270000	515630000	481570000
82542000	52563000	78243000	64821000	83103000	84009000	61311000	74493000	86330000	101610000	660500000	714830000	440040000	147190000	321380000	521500000	628150000	50846000
17231000	19912000	24024000	8606300	13587000	11565000	12193000	22209000	20549000	21766000	28586000	26315000	19990000	8600800	10421000	12635000	26201000	12305000
13235000	5672200	19035000	11895000	8468800	4752400	4347100	2550900	4812600	27717000	13073000	21427000	7072800	12016000	12400000	8467600	5440700	5052400
415680000	444290000	426420000	355370000	422050000	389220000	373790000	481820000	399470000	306080000	396890000	405100000	298420000	404350000	329470000	299510000	405420000	352970000
52075000	70539000	111980000	170320000	200290000	177850000	152790000	136540000	144040000	12424000	11804000	18460000	16858000	22246000	22452000	13102000	13747000	15029000
1.205e+09	945780000	968440000	687210000	686230000	697320000	743500000	8.54e+08	846850000	1452500000	1127500000	1304800000	1062400000	1116300000	1172900000	1078300000	1100200000	1057300000
324840000	339930000	408980000	374820000	425710000	361830000	358580000	348540000	379780000	532500000	346900000	266440000	381380000	734170000	612200000	438750000	352430000	273310000
NA	2328600	3473100	8419800	9302600	7518000	6261500	6966000	6615600	NA	4621800	4929700	17042000	19079000	13108000	8320300	9959800	8205200
352340000	614480000	564640000	496550000	517950000	426690000	440830000	601100000	529530000	543950000	690470000	732640000	542380000	518980000	631450000	616910000	723650000	683820000
29524000	22313000	28187000	18455000	22367000	18600000	10225000	10824000	15402000	112200000	80781000	94257000	49693000	49907000	48721000	10121000	15169000	50831000
118290000	1.12e+08	123940000	143260000	121140000	123570000	76735000	98232000	83047000	343580000	201550000	376290000	546870000	612060000	718240000	269330000	214920000	540970000
11767000	683510	1796300	4066700	6319100	6417200	2764800	NA	NA	33702000	17231000	18792000	58830000	67980000	58790000	23162000	8188000	8355800
155080000	83247000	94073000	64372000	50638000	45729000	100660000	69306000	61383000	91877000	84364000	89434000	107910000	71193000	80574000	121050000	69444000	74914000
4547000	5413900	8090700	8424700	7788900	8952500	8049400	12682000	10505000	9737700	6608000	8183000	7490400	17025000	18987000	7039900	13529000	7986000
388180	18465000	17628000	1171400	1229300	14681000	3800300	4948900	4544900	4228400	15034000	132280000	975260	6214000	17622000	6945700	14942000	14544000
4924600	26419000	27736000	1015700	11204000	4091400	1767900	16704000	3080400	12947000	11188000	15109000	1378000	29863000	31732000	5231800	6839700	4826700
42706000	41615000	38702000	29577000	32484000	34653000	39640000	36381000	33700000	32587000	35142000	37555000	22457000	57325000	55751000	34202000	31426000	33416000
31928000	34343000	44481000	40787000	31748000	32828000	31591000	45168000	31772000	39410000	43876000	45834000	50645000	55380000	46391000	32601000	38109000	41072000
54875000	47829000	46473000	41214000	45338000	49343000	65004000	42194000	36408000	74227000	81322000	86117000	56143000	85849000	81180000	85757000	78230000	71324000
62550000	68021000	76109000	44793000	39310000	35818000	56468000	62615000	42094000	98887000	69761000	50246000	24241000	32374000	31259000	45346000	36673000	16146000
1801700	3133600	3031500	4190000	5781100	3639800	2505500	NA	402410	4778100	3988200	3421400	11572000	10727000	8454600	3918800	NA	502540
5177700	8793500	18929000	30586000	20970000	25542000	22785000	25597000	19826000	15922000	3250200	4040700	18506000	8543200	8995800	7184800	27433000	25548000
23411000	22651000	7038400	10782000	10154000	5751500	7317000	12091000	18482000	18598000	25234000	16979000	12834000	8700100	8235700	12838000	7778000	9600800
9127400	2198700	7170300	766290	1424200	352390	1301700	6783600	3053400	13598000	4832900	14107000	2639100	1778200	1381800	3503900	12671000	3764400
34825000	31541000	25923000	50384000	46733000	47561000	29391000	36282000	39269000	24399000	48507000	23903000	54169000	52532000	59483000	37797000	49538000	40173000
586470	535050	1983100	4786100	3344300	4542100	448790	248580	409090	1888700	322650	3939300	10281000	4735300	6761600	520160	379220	502270
51688000	60952000	35469000	32264000	12452000	19931000	39055000	19636000	15632000	29847000	33554000	29527000	33777000	19261000	27928000	41987000	37134000	25212000
100040000	68736000	66406000	116160000	126830000	125080000	62967000	91564000	79232000	56453000	54571000	59672000	107990000	118200000	126290000	51950000	53349000	64070000
48377000	53746000	40156000	37299000	11311000	12377000	25972000	26141000	25004000	33217000	15825000	32404000	10834000	8463700	5836700	14651000	11786000	15472000
94173000	86530000	89620000	65790000	81088000	73882000	75298000	79484000	81834000	68425000	71553000	32005000	81016000	113900000	80778000	69089000	69293000	6.9e+07
17110000	14089000	41745000	609590	39263000	45834000	1859800	36461000	2482700	2578800	1209900	4819200	3227300	1870400	5586800	1700600	5566100	2550700
2127300	2899300	2689500	1150000	785440	578090	1355700	2298100	1193700	3207700	4866700	4253200	3536900	3388900	563180	3135000	3005100	1906100
572710000	631660000	638330000	745830000	671910000	649440000	556900000	6.03e+08	538440000	908050000	891460000	783290000	1043900000	1.183e+09	1147300000	1016800000	988840000	854140000
112980000	28255000	21319000	44714000	42560000	19696000	20348000	24389000	27848000	63697000	48447000	33226000	33470000	29979000	18029000	20094000	23463000	25192000
56729000	70540000	53324000	39018000	44458000	55488000	59129000	61903000	78379000	99879000	79363000	92954000	81471000	103100000	117290000	65355000	78348000	92530000
124610000	113410000	127050000	44703000	87618000	68446000	146070000	178410000	136710000	112140000	123240000	132970000	31949000	45655000	41004000	65516000	75425000	67534000
338690000	345540000	333130000	119500000	120420000	106150000	236330000	224270000	221800000	157460000	157640000	162940000	63692000	64299000	50506000	110830000	1.18e+08	118430000
37988000	18643000	16293000	12093000	61373000	84246000	9025300	11899000	91453000	25183000	13768000	15434000	15435000	45958000	67258000	8466200	12177000	56760000
3595400	1966900	1883400	2840600	14449000	6383800	4318800	2641400	4270600	56911000	52086000	49991000	82351000	106130000	78296000	65047000	57533000	89544000
726220	581390	641330	2011900	3346600	5369200	3876600	1866500	1055500	2940600	2438400	2157300	7927000	4786400	8514500	6676000	3323800	2717600
400430000	309080000	329410000	442570000	468960000	429410000	226050000	213990000	215870000	267020000	285260000	252710000	160240000	107180000	130810000	148600000	151400000	157920000
88455000	12322000	14978000	10970000	9712800	59338000	106580000	92963000	99983000	7631700	9904100	10540000	8455000	7060300	5797800	6281900	5179600	9131600
61490000	55838000	74438000	77801000	77865000	79276000	80683000	66684000	63918000	50603000	34112000	47534000	53674000	46345000	61953000	43303000	45911000	46590000
71384000	62578000	54261000	19404000	19973000	27026000	30527000	40087000	32914000	62099000	39937000	30421000	16481000	18473000	15631000	23736000	34137000	29696000
90746000	185940000	206310000	29192000	51062000	46539000	77408000	99888000	74246000	66545000	133650000	138890000	26074000	25369000	25621000	37596000	37204000	19987000
9304300	22785000	16394000	28233000	33710000	34775000	21717000	34282000	24874000	8574000	15815000	14664000	28448000	27556000	34642000	17471000	19652000	17418000
2114700	5287300	3701300	6681300	6934100	3065700	4120700	2036900	1091500	2866500	12793000	9431300	11517000	13411000	9721500	7189900	3706200	2312600
18025000	7313300	8829000	32135000	33658000	13108000	38272000	10593000	47764000	8057800	5289000	3079600	14112000	12956000	11197000	5483600	4358100	3527300
88815000	88060000	97810000	73089000	59578000	58298000	77673000	86085000	55683000	62179000	92637000	88891000	89996000	225750000	319060000	69130000	85638000	69512000
174070000	174540000	172360000	191590000	228760000	197260000	153150000	171930000	142060000	100340000	102530000	107460000	139890000	164890000	139190000	108570000	126560000	86478000
6343500	97682000	108500000	67716000	7704800	6986100	10934000	77540000	79765000	4602500	3027800	4108400	8457500	10730000	3230200	3200500	3046100	3464900
349600000	385400000	363470000	304380000	247610000	255330000	311390000	285010000	283800000	340320000	296190000	277830000	264010000	264350000	275210000	259810000	129110000	124430000
902860000	888720000	1107100000	626220000	589080000	609090000	741910000	835950000	902580000	1023400000	955450000	1245200000	714220000	721080000	684850000	850800000	1045500000	1033600000
3874300	10003000	8037200	6728900	5745300	2899300	4388200	5229400	6462800	14927000	74408000	30371000	25395000	17199000	8246400	12782000	27721000	23907000
28908000	25897000	17899000	17092000	21966000	23549000	28924000	25166000	24718000	65809000	45503000	34508000	21338000	12038000	31579000	42669000	39420000	41926000
22060000	5699100	7613500	7326500	22527000	3202200	12563000	4298900	6182100	3927800	2969000	4568700	5152900	5764800	2461200	8921300	3226900	4875500
2517800	3250100	2219700	NA	735450	3310000	2005000	1035300	623130	4815700	7927200	7711800	NA	3297900	5160800	2528900	943410	765380
35610000	23874000	85124000	60257000	153150000	178640000	28469000	129390000	63119000	51075000	35897000	31783000	64527000	50837000	49494000	55491000	39348000	43430000
